variable,value,new
Petal.Length,1,3
Petal.Length,1,3
Petal.Length,1.1,5
Petal.Length,1.1,3
Petal.Length,1.2,5
Petal.Length,1.2,3
Petal.Length,1.2,3
Petal.Length,1.2,3
Petal.Length,1.3,3
Petal.Length,1.3,5
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,5
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.4,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,5
Petal.Length,1.5,5
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Length,1.7,3
Petal.Length,1.7,5
Petal.Length,1.7,3
Petal.Length,1.7,3
Petal.Length,1.7,3
Petal.Length,1.7,3
Petal.Length,1.7,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1.9,3
Petal.Length,1,3
Petal.Length,1,3
Petal.Length,1.1,3
Petal.Length,1.1,3
Petal.Length,1.2,3
Petal.Length,1.2,3
Petal.Length,1.2,3
Petal.Length,1.2,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Sepal.Length,1.3,1
Petal.Length,1.3,3
Sepal.Length,1.3,2
Sepal.Length,1.3,5
Sepal.Length,1.3,2
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Petal.Length,1.3,3
Sepal.Length,1.6,2
Petal.Length,1.6,3
Petal.Length,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.6,3
Petal.Width,1.7,3
Petal.Width,1.7,3
Petal.Width,1.7,3
Petal.Width,1.7,3
Petal.Width,1.7,3
Petal.Width,1.7,3
Petal.Width,1.7,3
Petal.Width,0.4,3
Petal.Width,0.2,3
Petal.Width,0.5,3
Petal.Width,0.2,5
Petal.Width,0.2,5
Petal.Width,0.4,5
Petal.Width,0.2,5
Petal.Width,0.2,5
Petal.Width,0.2,5
Petal.Width,0.2,5
Petal.Width,0.4,5
Petal.Width,0.1,5
Petal.Width,0.2,5
Petal.Width,0.2,5
Petal.Width,0.2,5
Petal.Width,0.2,5
Petal.Width,0.1,5
Petal.Width,0.2,5
Petal.Width,0.2,5
Petal.Width,0.3,5
Petal.Width,0.3,4
Petal.Width,0.2,4
Petal.Width,0.6,4
Petal.Width,0.4,4
Petal.Width,0.3,4
Petal.Width,0.2,4
Petal.Width,0.2,4
Petal.Width,0.2,4
Petal.Width,0.2,4
Petal.Width,1.4,4
Petal.Width,1.5,4
Petal.Width,1.5,4
Petal.Width,1.3,4
Petal.Width,1.5,4
Petal.Width,1.3,4
Petal.Width,1.6,4
Petal.Width,1,4
Petal.Width,1.3,4
Petal.Width,1.4,4
Petal.Width,1,4
Petal.Width,1.5,4
Petal.Width,1,4
Petal.Width,1.4,4
Petal.Width,1.3,4
Petal.Width,1.4,4
Petal.Width,1.5,4
Petal.Width,1,4
Petal.Width,1.5,4
Petal.Width,1.1,4
Petal.Width,1.8,4
Petal.Width,1.3,4
Petal.Width,1.5,4
Petal.Width,1.2,4
Petal.Width,1.3,4
Petal.Width,1.4,4
Petal.Width,1.4,4
Petal.Width,1.7,4
Petal.Width,1.5,4
Petal.Width,1,4
Petal.Width,1.1,4
Petal.Width,1,4
Petal.Width,1.2,4
Petal.Width,1.6,4
Petal.Width,1.5,4
Petal.Width,1.6,4
Petal.Width,1.5,4
Petal.Width,1.3,4
Petal.Width,1.3,4
Petal.Width,1.3,4
Petal.Width,1.2,4
Petal.Width,1.4,4
Petal.Width,1.2,4
Petal.Width,1,4
Petal.Width,1.3,4
Petal.Width,1.2,4
Petal.Width,1.3,4
Petal.Width,1.3,4
Petal.Width,1.1,4
Petal.Width,1.3,4
Petal.Width,2.5,4
Petal.Width,1.9,4
Petal.Width,2.1,4
Petal.Width,1.8,4
Petal.Width,2.2,4
Petal.Width,2.1,4
Petal.Width,1.7,4
Petal.Width,1.8,4
Petal.Width,1.8,4
Petal.Width,2.5,4
Petal.Width,2,4
Petal.Width,1.9,4
Petal.Width,2.1,4
Petal.Width,2,4
Petal.Width,2.4,4
Petal.Width,2.3,4
Petal.Width,1.8,4
Petal.Width,2.2,4
Petal.Width,2.3,4
Petal.Width,1.5,4
Petal.Width,2.3,4
Petal.Width,2,4
Petal.Width,2,4
Petal.Width,1.8,4
Petal.Width,2.1,4
Petal.Width,1.8,4
Petal.Width,1.8,4
Petal.Width,1.8,4
Petal.Width,2.1,4
Petal.Width,1.6,4
Petal.Width,1.9,4
Petal.Width,2,4
Petal.Width,2.2,4
Petal.Width,1.5,4
Petal.Width,1.4,4
Petal.Width,2.3,4
Petal.Width,2.4,4
Petal.Width,1.8,4
Petal.Width,1.8,4
Petal.Width,2.1,4
Petal.Width,2.4,4
Petal.Width,2.3,4
Petal.Width,1.9,4
Petal.Width,2.3,4
Petal.Width,2.5,4
Petal.Width,2.3,4
Petal.Width,1.9,5
Petal.Width,2,5
Petal.Width,2.3,5
Petal.Width,1.8,5
Sepal.Length,1.5,2
Sepal.Length,1.5,2
Sepal.Length,1.5,1
Sepal.Length,1.5,2
Petal.Length,1.5,3
Petal.Length,1.5,3
Petal.Length,1.5,3
Sepal.Length,1.5,2
Sepal.Length,1.5,2
Petal.Length,1.5,3
Sepal.Length,1.5,1
Sepal.Length,1.5,1
Sepal.Length,1.5,4
Sepal.Length,1.5,2
Sepal.Length,1.5,2
Petal.Length,1.5,3
Sepal.Length,1.5,2
Sepal.Length,1.5,1
Sepal.Length,1.5,2
Sepal.Length,1.5,5
Sepal.Length,1.5,4
Sepal.Length,1.6,3
Sepal.Length,1.6,2
Sepal.Length,1.6,2
Sepal.Length,1.6,4
Sepal.Length,1.6,4
Sepal.Length,1.6,5
Sepal.Length,1.6,2
Sepal.Length,1.6,2
Sepal.Length,1.6,2
Sepal.Length,1.6,4
Sepal.Length,1.6,1
Sepal.Length,1.6,2
Sepal.Length,1.6,1
Sepal.Length,1.6,1
Sepal.Length,1.6,1
Sepal.Length,1.6,1
Sepal.Length,1.6,5
Sepal.Length,1.6,2
Sepal.Length,1.6,2
Sepal.Length,1.7,1
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,1.7,2
Sepal.Length,1.7,4
Sepal.Length,1.7,2
Sepal.Length,1.7,2
Sepal.Length,1.7,1
Sepal.Length,1.7,1
Sepal.Length,1.7,1
Sepal.Length,1.7,2
Sepal.Length,1.7,4
Sepal.Length,1.7,2
Sepal.Length,1.7,5
Sepal.Length,1.7,2
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,1.7,1
Sepal.Length,1.7,1
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,1.7,1
Sepal.Length,1.7,5
Sepal.Length,1.7,1
Sepal.Length,1.7,1
Sepal.Length,1.7,2
Sepal.Length,1.7,4
Sepal.Length,1.7,1
Sepal.Length,1.7,1
Sepal.Length,1.7,3
Sepal.Length,1.7,3
Sepal.Length,1.7,1
Sepal.Length,2.2,4
Sepal.Length,2.3,4
Sepal.Length,2.3,1
Sepal.Length,2.5,3
Sepal.Length,2,3
Sepal.Length,2.1,5
Sepal.Length,2.3,4
Sepal.Length,2.4,4
Sepal.Length,2.4,5
Sepal.Length,2.6,4
Sepal.Length,2.2,3
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,1.7,3
Sepal.Length,1.7,5
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,1.7,1
Sepal.Length,1.7,5
Sepal.Length,1.7,5
Sepal.Length,2.2,4
Sepal.Length,2.3,1
Sepal.Length,2.3,5
Sepal.Length,2.5,5
Sepal.Length,2,4
Sepal.Length,2.1,4
Sepal.Length,2.3,4
Sepal.Length,3.1,3
Sepal.Length,3.3,3
Sepal.Length,3,5
Sepal.Length,3,5
Sepal.Length,3,5
Sepal.Length,3,5
Sepal.Length,3,2
Sepal.Length,3,4
Sepal.Length,3,3
Sepal.Length,2.5,3
Sepal.Length,2.5,5
Sepal.Length,2.4,5
Sepal.Length,2.6,5
Sepal.Length,2.2,2
Sepal.Length,2,3
Sepal.Length,2.2,3
Sepal.Length,2,3
Sepal.Length,2.5,5
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,1.7,4
Sepal.Length,2.2,4
Sepal.Length,2.3,3
Sepal.Length,2.3,5
Sepal.Length,2.5,5
Sepal.Length,2,5
Sepal.Length,2.1,5
Sepal.Length,2.3,4
Sepal.Length,2.4,3
Sepal.Length,2.4,5
Sepal.Length,2.6,2
Sepal.Length,2.2,3
Sepal.Length,1.7,5
Sepal.Length,1.7,5
Sepal.Length,1.7,2
Sepal.Length,1.7,3
Sepal.Length,1.7,3
Sepal.Length,1.7,5
Sepal.Length,1.7,5
Sepal.Length,1.7,3
Sepal.Length,1.7,5
Sepal.Length,1.7,3
Sepal.Length,2.2,3
Sepal.Length,2.3,3
Sepal.Length,2.3,5
Sepal.Length,2.5,5
Sepal.Length,2,5
Sepal.Width,2.1,5
Sepal.Width,2.3,5
Sepal.Width,3.1,5
Sepal.Width,3.3,5
Sepal.Width,3,5
Sepal.Width,3,5
Sepal.Width,3,5
Sepal.Width,3,5
Sepal.Width,3,5
Sepal.Width,3.1,5
Sepal.Width,3.7,5
Sepal.Width,3.4,5
Sepal.Width,3,5
Sepal.Width,3,5
Sepal.Width,4,5
Sepal.Width,4.4,5
Sepal.Width,3.9,5
Sepal.Width,3.5,5
Sepal.Width,3.8,5
Sepal.Width,3.8,5
Sepal.Width,3.4,5
Sepal.Width,3.7,5
Sepal.Width,3.6,5
Sepal.Width,3.3,3
Sepal.Width,3.4,3
Sepal.Width,3,3
Sepal.Width,3.4,3
Sepal.Width,3.5,3
Sepal.Width,3.4,3
Sepal.Width,3.2,3
Sepal.Width,3.1,3
Sepal.Width,3.4,3
Sepal.Width,4.1,3
Sepal.Width,4.2,3
Sepal.Width,3.1,3
Sepal.Width,3.2,3
Sepal.Width,3.5,3
Sepal.Width,3.6,3
Sepal.Width,3,3
Sepal.Width,3.4,3
Sepal.Width,3.5,3
Sepal.Width,2.3,3
Sepal.Width,3.2,3
Sepal.Width,3.5,3
Sepal.Width,3.8,3
Sepal.Width,3,3
Sepal.Width,3.8,3
Sepal.Width,3.2,3
Sepal.Width,3.7,3
Sepal.Width,3.3,3
Sepal.Width,3.2,3
Sepal.Width,3.2,3
Sepal.Width,3.1,3
Sepal.Width,2.3,3
Sepal.Width,2.8,3
Sepal.Width,2.8,3
Sepal.Width,3.3,3
Sepal.Width,2.4,3
Sepal.Width,2.9,3
Sepal.Width,2.7,3
Sepal.Width,2,3
Sepal.Width,3,3
Sepal.Width,2.2,3
Sepal.Width,2.9,3
Sepal.Width,2.9,3
Sepal.Width,3.1,3
Sepal.Width,3,3
Sepal.Width,2.7,3
Sepal.Width,2.2,3
Sepal.Width,2.5,3
Sepal.Width,3.2,3
Sepal.Width,2.8,3
Sepal.Width,2.5,3
Sepal.Width,2.8,3
Sepal.Width,2.9,3
Sepal.Width,3,3
Sepal.Width,2.8,3
Sepal.Width,3,3
Sepal.Width,2.9,3
Sepal.Width,2.6,3
Sepal.Width,2.4,3
Sepal.Width,2.4,3
Sepal.Width,2.7,3
Sepal.Width,2.7,3
Sepal.Width,3,3
Sepal.Width,3.4,3
Sepal.Width,3.1,3
Sepal.Width,2.3,3
Sepal.Width,3,3
Sepal.Width,2.5,3
Sepal.Width,2.6,3
Sepal.Width,3,3
Sepal.Width,2.6,3
Sepal.Width,2.3,3
Sepal.Width,2.7,3
Sepal.Width,3,3
Sepal.Width,2.9,3
Sepal.Width,2.9,3
Sepal.Width,2.5,3
Sepal.Width,2.8,3
Sepal.Width,3.3,3
Sepal.Width,2.7,3
Sepal.Width,3,3
Sepal.Width,2.9,3
Sepal.Width,3,3
Sepal.Width,3,3
Sepal.Width,2.5,3
Sepal.Width,2.9,3
Sepal.Width,2.5,3
Sepal.Width,3.6,3
Sepal.Width,3.2,3
Sepal.Width,2.7,3
Sepal.Width,3,3
Sepal.Width,2.5,3
Sepal.Width,2.8,3
Sepal.Width,3.2,3
Sepal.Width,3,3
Sepal.Width,3.8,3
Sepal.Width,2.6,3
Sepal.Width,2.2,3
Sepal.Width,3.2,3
Sepal.Width,2.8,3
Sepal.Width,2.8,3
Sepal.Width,2.7,3
Sepal.Width,3.3,3
Sepal.Width,3.2,3
Sepal.Width,2.8,3
Sepal.Width,3,3
Sepal.Width,2.8,3
Sepal.Width,3,3
Sepal.Width,2.8,3
Sepal.Width,3.8,3
Sepal.Width,2.8,3
Sepal.Width,2.8,3
Sepal.Width,2.6,3
Sepal.Width,3,3
Sepal.Width,3.4,3
Sepal.Width,3.1,3
Sepal.Width,3,3
Sepal.Width,3.1,3
Sepal.Width,3.1,3
Sepal.Width,3.1,3
Sepal.Width,2.7,3
Sepal.Width,3.2,3
Sepal.Width,3.3,3
Sepal.Width,3,3
Sepal.Width,2.5,3
Sepal.Width,3,3
Sepal.Width,3.4,3
Sepal.Width,3,3
